Tarih;Saat;Consumption
16.05.2021;22:00;31547.21
16.05.2021;23:00;30506.76
17.05.2021;00:00;29094.42
17.05.2021;01:00;28019.28
17.05.2021;02:00;26981.23
17.05.2021;03:00;26258.86
17.05.2021;04:00;26106.86
17.05.2021;05:00;25387.77
17.05.2021;06:00;25151.78
17.05.2021;07:00;27782.05
17.05.2021;08:00;33524.76
17.05.2021;09:00;36641.9
17.05.2021;10:00;38324.97
17.05.2021;11:00;39512.31
17.05.2021;12:00;38339.77
17.05.2021;13:00;38784.85
17.05.2021;14:00;39233.98
17.05.2021;15:00;38564.04
17.05.2021;16:00;38072.72
17.05.2021;17:00;37199.62
17.05.2021;18:00;36030.27
17.05.2021;19:00;36269.87
17.05.2021;20:00;37533.79
17.05.2021;21:00;37213.47
17.05.2021;22:00;36248.84
17.05.2021;23:00;34964.66
18.05.2021;00:00;33376.8
18.05.2021;01:00;31810.99
18.05.2021;02:00;30657.91
18.05.2021;03:00;29937.87
18.05.2021;04:00;29593.62
18.05.2021;05:00;28813.94
18.05.2021;06:00;28540.39
18.05.2021;07:00;30533.36
18.05.2021;08:00;35034.02
18.05.2021;09:00;38298.67
18.05.2021;10:00;39588.06
18.05.2021;11:00;40686.16
18.05.2021;12:00;39471.75
18.05.2021;13:00;39930.72
18.05.2021;14:00;40224.68
18.05.2021;15:00;39796.01
18.05.2021;16:00;39082.37
18.05.2021;17:00;38211.75
18.05.2021;18:00;36930.25
18.05.2021;19:00;37040.13
18.05.2021;20:00;38129.94
18.05.2021;21:00;37653.96
18.05.2021;22:00;36632.51
18.05.2021;23:00;35137.07
19.05.2021;00:00;33345.15
19.05.2021;01:00;31715.6
19.05.2021;02:00;30607.83
19.05.2021;03:00;29618.65
19.05.2021;04:00;29306.34
19.05.2021;05:00;28560.95
19.05.2021;06:00;28112.67
19.05.2021;07:00;29360.1
19.05.2021;08:00;33309.14
19.05.2021;09:00;36069.75
19.05.2021;10:00;37563.72
19.05.2021;11:00;38564.9
19.05.2021;12:00;37710.18
19.05.2021;13:00;37948.52
19.05.2021;14:00;38392.65
19.05.2021;15:00;37705.16
19.05.2021;16:00;37397.45
19.05.2021;17:00;36615.53
19.05.2021;18:00;35979.71
19.05.2021;19:00;36232.92
19.05.2021;20:00;37286.68
19.05.2021;21:00;37120.06
19.05.2021;22:00;36409.89
19.05.2021;23:00;34814.69
